-----|NEW SCRAPPING APP|-------------
Started at: Tue Dec 15 21:58:23 CET 2020
Initial data load file: ..//mm-IMDb-database//imbd-data//MovieGenreIGC_v3.xlsx
-------------------------------------
-----|EXCEL SCRAPPING STATISTICS|----
Scrapping rows from 0 to 9000 [total rows = 39966]
Successful Excel scraps: 8971/9000
-------------------------------------
-----|STARTING WEB SCRAPPING|-----
--------|Mode: full scrap|--------
Scrapped film: 49652 (7 seconds)
Scrapped film: 72829 (6 seconds)
Scrapped film: 22981 (8 seconds)
Scrapped film: 35737 (6 seconds)
Scrapped film: 30947 (6 seconds)
Scrapped film: 42035 (5 seconds)
Scrapped film: 68337 (5 seconds)
Scrapped film: 61189 (6 seconds)
Scrapped film: 49653 (7 seconds)
Scrapped film: 72831 (6 seconds)
Scrapped film: 22990 (7 seconds)
Scrapped film: 35744 (6 seconds)
Scrapped film: 42039 (6 seconds)
Scrapped film: 30973 (6 seconds)
Scrapped film: 68339 (5 seconds)
Scrapped film: 61196 (5 seconds)
Scrapped film: 49674 (7 seconds)
Scrapped film: 72837 (6 seconds)
Scrapped film: 42040 (5 seconds)
Scrapped film: 23027 (7 seconds)
Scrapped film: 35746 (6 seconds)
Scrapped film: 61198 (5 seconds)
Scrapped film: 68341 (6 seconds)
Scrapped film: 30993 (6 seconds)
Scrapped film: 72844 (5 seconds)
Scrapped film: 42041 (5 seconds)
Scrapped film: 49682 (7 seconds)
Scrapped film: 68344 (5 seconds)
Scrapped film: 61199 (6 seconds)
Scrapped film: 35751 (6 seconds)
Scrapped film: 23028 (7 seconds)
Scrapped film: 30996 (7 seconds)
Scrapped film: 72848 (5 seconds)
Scrapped film: 42046 (5 seconds)
Scrapped film: 68346 (5 seconds)
Scrapped film: 49693 (6 seconds)
Scrapped film: 61203 (6 seconds)
Scrapped film: 72852 (5 seconds)
Scrapped film: 35753 (7 seconds)
Scrapped film: 23037 (7 seconds)
Scrapped film: 31000 (6 seconds)
Scrapped film: 42046 (5 seconds)
Scrapped film: 68347 (5 seconds)
Scrapped film: 49710 (7 seconds)
Scrapped film: 61204 (6 seconds)
Scrapped film: 72856 (6 seconds)
Scrapped film: 23038 (6 seconds)
Scrapped film: 35763 (6 seconds)
Scrapped film: 42053 (5 seconds)
Scrapped film: 31002 (7 seconds)
Scrapped film: 68348 (6 seconds)
Scrapped film: 61208 (5 seconds)
Scrapped film: 49717 (7 seconds)
Scrapped film: 23042 (6 seconds)
Scrapped film: 42054 (5 seconds)
Scrapped film: 72860 (7 seconds)
Scrapped film: 35769 (7 seconds)
Scrapped film: 31012 (7 seconds)
Scrapped film: 68356 (6 seconds)
Scrapped film: 61209 (5 seconds)
Scrapped film: 23049 (6 seconds)
Scrapped film: 42176 (5 seconds)
Scrapped film: 49730 (7 seconds)
Scrapped film: 72867 (6 seconds)
Scrapped film: 35770 (6 seconds)
Scrapped film: 31020 (7 seconds)
Scrapped film: 68358 (7 seconds)
Scrapped film: 61253 (6 seconds)
Scrapped film: 42179 (5 seconds)
Scrapped film: 23074 (5 seconds)
